deputado,partido,municipio,classe_destino,votos,pct_votos,valor_empenhado,pct_emendas
OTTO FILHO,PSD,IPIRA,DENTRO,8185,4.07,0.0,0.0
OTTO FILHO,PSD,ITAPICURU,DENTRO,6957,3.46,0.0,0.0
OTTO FILHO,PSD,RUY BARBOSA,DENTRO,6383,3.18,0.0,0.0
OTTO FILHO,PSD,CAPIM GROSSO,DENTRO,6142,3.06,0.0,0.0
OTTO FILHO,PSD,IGUAI,DENTRO,6126,3.05,0.0,0.0
OTTO FILHO,PSD,SIMOES FILHO,DENTRO,5801,2.89,0.0,0.0
OTTO FILHO,PSD,SANTO ANTONIO DE JESUS,DENTRO,5775,2.87,0.0,0.0
OTTO FILHO,PSD,IRAQUARA,DENTRO,5423,2.70,0.0,0.0
OTTO FILHO,PSD,CONCEICAO DO ALMEIDA,DENTRO,5208,2.59,0.0,0.0
OTTO FILHO,PSD,IACU,DENTRO,5161,2.57,0.0,0.0
OTTO FILHO,PSD,ITABERABA,DENTRO,5146,2.56,0.0,0.0
OTTO FILHO,PSD,IPECAETA,DENTRO,4921,2.45,0.0,0.0
OTTO FILHO,PSD,SERRINHA,DENTRO,4749,2.36,0.0,0.0
OTTO FILHO,PSD,SANTALUZ,DENTRO,4723,2.35,0.0,0.0
OTTO FILHO,PSD,BONITO,DENTRO,4597,2.29,0.0,0.0
OTTO FILHO,PSD,ITARANTIM,DENTRO,4510,2.24,0.0,0.0
OTTO FILHO,PSD,JEREMOABO,DENTRO,4466,2.22,0.0,0.0
OTTO FILHO,PSD,SALVADOR,DENTRO,3963,1.97,0.0,0.0
OTTO FILHO,PSD,LAPAO,DENTRO,3869,1.93,0.0,0.0
OTTO FILHO,PSD,IBITIARA,DENTRO,3758,1.87,0.0,0.0
OTTO FILHO,PSD,LENCOIS,DENTRO,3652,1.82,0.0,0.0
OTTO FILHO,PSD,FEIRA DE SANTANA,DENTRO,3367,1.68,0.0,0.0
OTTO FILHO,PSD,SALINAS DA MARGARIDA,DENTRO,3229,1.61,0.0,0.0
OTTO FILHO,PSD,MACAJUBA,DENTRO,3226,1.61,0.0,0.0
OTTO FILHO,PSD,BAIXA GRANDE,DENTRO,2745,1.37,0.0,0.0
OTTO FILHO,PSD,MUNDO NOVO,DENTRO,2713,1.35,0.0,0.0
OTTO FILHO,PSD,RIACHAO DO JACUIPE,DENTRO,2648,1.32,0.0,0.0
OTTO FILHO,PSD,ALAGOINHAS,DENTRO,2579,1.28,0.0,0.0
OTTO FILHO,PSD,UBAIRA,DENTRO,2472,1.23,0.0,0.0
OTTO FILHO,PSD,ITAPETINGA,DENTRO,2439,1.21,0.0,0.0
OTTO FILHO,PSD,NOVA CANAA,DENTRO,2410,1.20,0.0,0.0
OTTO FILHO,PSD,BOA VISTA DO TUPIM,DENTRO,2324,1.16,0.0,0.0
OTTO FILHO,PSD,SAO FELIPE,DENTRO,2123,1.06,0.0,0.0
OTTO FILHO,PSD,RETIROLANDIA,DENTRO,1918,0.95,0.0,0.0
OTTO FILHO,PSD,IBIRATAIA,DENTRO,1842,0.92,0.0,0.0
OTTO FILHO,PSD,NOVA VICOSA,DENTRO,1800,0.90,0.0,0.0
OTTO FILHO,PSD,LAURO DE FREITAS,DENTRO,1709,0.85,0.0,0.0
OTTO FILHO,PSD,WAGNER,DENTRO,1671,0.83,0.0,0.0
OTTO FILHO,PSD,XIQUE-XIQUE,DENTRO,1442,0.72,0.0,0.0
OTTO FILHO,PSD,PAULO AFONSO,DENTRO,1432,0.71,0.0,0.0
OTTO FILHO,PSD,ARATACA,DENTRO,1429,0.71,0.0,0.0
OTTO FILHO,PSD,VITORIA DA CONQUISTA,DENTRO,1422,0.71,0.0,0.0
OTTO FILHO,PSD,MILAGRES,DENTRO,1410,0.70,0.0,0.0
