deputado,partido,municipio,classe_destino,votos,pct_votos,valor_empenhado,pct_emendas
YANDRA DE ANDRE,UNIÃO,ARACAJU,DENTRO,13629,10.37,349997.56,0.31
YANDRA DE ANDRE,UNIÃO,JAPARATUBA,DENTRO,5652,4.30,0.0,0.0
YANDRA DE ANDRE,UNIÃO,ITABAIANA,DENTRO,4521,3.44,0.0,0.0
YANDRA DE ANDRE,UNIÃO,TOBIAS BARRETO,DENTRO,4478,3.41,0.0,0.0
YANDRA DE ANDRE,UNIÃO,CAPELA,DENTRO,4403,3.35,0.0,0.0
YANDRA DE ANDRE,UNIÃO,FREI PAULO,DENTRO,4369,3.32,0.0,0.0
YANDRA DE ANDRE,UNIÃO,SIMÃO DIAS,DENTRO,3922,2.98,0.0,0.0
YANDRA DE ANDRE,UNIÃO,NOSSA SENHORA DO SOCORRO,DENTRO,3613,2.75,0.0,0.0
YANDRA DE ANDRE,UNIÃO,ESTÂNCIA,DENTRO,3507,2.67,0.0,0.0
YANDRA DE ANDRE,UNIÃO,NOSSA SENHORA DAS DORES,DENTRO,3450,2.62,0.0,0.0
YANDRA DE ANDRE,UNIÃO,AREIA BRANCA,DENTRO,2949,2.24,0.0,0.0
YANDRA DE ANDRE,UNIÃO,CANINDÉ DE SÃO FRANCISCO,DENTRO,2757,2.10,0.0,0.0
YANDRA DE ANDRE,UNIÃO,ITAPORANGA D'AJUDA,DENTRO,2744,2.09,0.0,0.0
YANDRA DE ANDRE,UNIÃO,POÇO REDONDO,DENTRO,2737,2.08,0.0,0.0
YANDRA DE ANDRE,UNIÃO,CAMPO DO BRITO,DENTRO,2469,1.88,0.0,0.0
YANDRA DE ANDRE,UNIÃO,UMBAÚBA,DENTRO,2466,1.88,0.0,0.0
YANDRA DE ANDRE,UNIÃO,PIRAMBU,DENTRO,2420,1.84,0.0,0.0
YANDRA DE ANDRE,UNIÃO,PACATUBA,DENTRO,2396,1.82,0.0,0.0
YANDRA DE ANDRE,UNIÃO,POÇO VERDE,DENTRO,2275,1.73,0.0,0.0
YANDRA DE ANDRE,UNIÃO,SÃO DOMINGOS,DENTRO,2267,1.72,0.0,0.0
